22,18;29,21;63,64;96,65;0,35
41,42;25,16;67,65;98,64;0,34
57,20;6,9;61,66;97,65;0,36
69,21;2,13;59,63;93,68;0,32
75,29;1,35;58,54;89,72;0,33
78,24;1,33;58,52;88,70;0,26
82,20;25,39;67,48;83,62;0,23
76,13;35,33;69,49;77,53;0,20
54,16;38,47;63,53;70,53;0,30
37,21;39,43;66,53;83,59;0,40
26,21;39,52;68,63;91,68;0,40
23,21;39,54;70,63;96,69;0,40
22,22;39,51;73,64;102,64;0,46
21,22;15,49;66,61;111,61;0,34
21,21;5,48;64,54;117,52;0,27
22,23;2,37;68,58;127,56;0,27
20,25;2,37;63,72;119,75;0,29
21,23;28,37;73,67;114,70;0,27
39,21;39,37;80,58;113,58;0,28
56,22;41,57;83,62;113,62;0,36
71,26;43,23;86,43;112,63;0,42
77,23;44,37;87,47;113,58;0,37
74,20;44,51;86,54;110,60;0,33
88,22;45,51;86,53;104,59;0,34
105,16;18,54;76,58;103,62;0,35
100,23;8,52;71,66;102,67;0,39
93,57;5,62;67,65;97,73;0,39
81,29;4,54;63,53;92,69;0,41
76,21;12,54;64,50;91,63;0,31
79,18;27,62;72,54;94,64;0,29
65,11;31,65;75,58;102,64;0,31
47,14;32,46;74,61;107,65;0,42
33,18;33,47;73,63;110,65;0,38
23,17;33,51;73,61;113,61;0,33
21,15;33,60;75,61;116,60;0,29
23,17;24,51;74,58;120,58;0,32
24,15;8,52;66,65;115,68;0,34
26,25;4,50;61,64;110,67;0,33
29,29;2,52;61,60;110,62;0,35
29,23;7,50;62,58;110,59;0,30
36,21;26,44;71,59;110,60;0,28
47,21;28,44;73,58;108,60;0,27
51,18;29,17;71,59;104,69;0,33
47,22;29,12;71,43;104,70;0,33
44,19;29,7;69,52;101,71;0,36
59,12;30,15;69,62;95,75;0,37
79,6;24,9;72,66;98,68;0,31
88,16;5,8;66,63;97,63;0,31
92,33;2,59;65,55;96,69;0,36
100,24;1,55;65,56;93,73;0,28
114,21;5,45;67,55;92,73;0,28
127,21;32,38;82,55;92,74;0,28
119,21;38,44;85,53;95,72;0,31
108,19;39,52;82,57;94,75;0,35
101,18;40,51;86,57;104,65;0,40
95,20;40,52;87,52;109,53;0,28
88,18;40,49;87,51;111,53;0,25
82,17;37,36;87,57;115,61;0,26
78,18;10,44;74,54;117,60;0,26
75,18;3,43;71,56;117,62;0,27
73,16;2,46;70,60;116,68;0,28
69,17;2,41;63,54;104,60;0,28
68,15;28,38;72,56;98,62;0,24
75,16;35,42;76,56;98,64;0,28
79,16;37,24;75,54;94,60;0,32
84,30;38,21;75,47;92,78;0,39
78,19;39,22;72,52;87,68;0,34
71,18;39,47;69,54;83,63;0,26
88,18;38,46;72,51;83,58;0,27
96,14;13,55;61,60;80,64;0,31
96,52;6,47;57,68;76,70;0,36
97,37;4,64;56,53;72,74;0,45
99,21;3,59;56,47;70,66;0,29
111,18;11,63;61,46;71,67;0,28
124,17;30,63;74,48;76,70;0,27
111,16;36,58;76,50;81,69;0,28
104,18;38,50;76,55;84,66;0,32
100,16;39,44;78,54;88,61;1,34
96,16;39,55;79,56;91,59;1,25
92,16;42,55;80,50;94,57;1,23
88,16;34,51;78,51;95,62;1,22
85,15;15,45;68,52;92,63;1,20
82,18;9,54;64,57;89,66;0,29
81,15;7,45;61,51;86,60;0,28
78,14;7,36;59,48;85,55;0,26
88,14;34,36;72,47;86,53;0,21
95,14;39,36;75,46;86,56;1,27
101,26;41,54;79,59;88,67;1,43
108,23;42,44;80,56;89,75;1,40
110,23;42,53;78,59;84,74;1,50
101,23;42,60;75,59;78,74;3,54
93,25;40,65;72,54;69,67;11,50
71,25;13,71;55,52;58,66;18,42
52,9;6,61;45,56;45,68;22,20
34,8;3,49;34,48;31,61;26,26
16,13;2,47;25,61;19,65;29,44
3,17;1,50;22,63;12,62;35,48
1,16;1,56;21,69;7,71;38,54
1,26;1,56;20,61;5,72;38,42
1,50;1,60;19,47;4,68;38,28
0,39;1,57;21,50;3,65;42,32
0,38;1,47;22,53;3,52;45,37
0,37;0,47;24,60;3,60;51,45
0,37;0,46;25,55;2,59;54,39
0,26;0,36;25,52;2,56;54,36
0,17;0,31;24,58;2,49;53,43
0,26;0,33;24,59;2,52;52,44
5,31;2,37;24,54;2,52;51,38
23,28;30,39;41,56;3,47;51,40
33,41;38,37;47,59;4,47;50,43
35,30;41,32;48,47;4,51;48,36
36,21;42,25;48,39;5,54;46,50
36,18;43,31;48,49;5,67;44,52
48,9;43,45;52,56;7,73;47,44
55,10;42,45;60,51;13,69;56,32
43,17;14,38;48,49;16,59;58,31
39,27;6,31;45,57;17,47;61,60
41,19;3,46;47,67;18,53;66,76
43,16;3,45;51,71;19,54;73,77
45,13;37,50;71,73;20,53;80,76
34,12;55,42;78,71;20,49;78,69
22,10;60,71;73,76;17,46;70,75
16,14;62,40;70,56;16,58;64,76
11,30;62,34;66,55;16,66;57,77
7,22;63,43;61,72;17,71;47,80
28,20;65,47;69,78;30,74;37,79
41,32;31,38;54,76;38,69;26,76
50,38;13,42;47,71;45,66;19,77
51,29;8,55;45,54;50,67;12,78
52,15;7,54;44,45;54,55;8,71
53,11;13,54;47,51;58,61;4,74
53,6;33,52;58,59;60,60;2,73
29,7;33,56;48,59;50,58;2,83
14,8;34,21;41,48;43,64;1,73
5,19;34,25;36,42;36,67;1,70
3,51;34,24;33,48;31,60;1,78
14,38;34,34;38,51;37,47;1,81
34,28;26,29;40,50;41,45;1,84
48,49;6,28;33,54;42,48;1,73
54,31;2,28;33,64;44,76;1,57
58,21;1,47;35,51;47,79;0,26
61,14;8,44;39,42;50,64;0,22
63,9;49,45;62,44;49,55;0,33
52,4;62,43;62,45;37,50;0,42
31,6;65,50;55,52;28,50;0,50
17,9;66,39;50,47;23,52;0,47
10,6;67,41;47,49;19,51;1,46
24,15;70,49;51,56;17,56;2,50
43,21;65,47;57,58;19,58;8,67
57,26;23,48;40,58;23,52;14,72
70,43;11,84;40,56;26,50;21,54
83,21;8,77;45,47;29,55;27,55
89,16;7,39;48,47;31,56;29,56
95,15;28,41;61,47;33,55;34,56
90,14;33,35;66,49;31,59;44,56
73,10;33,49;61,48;26,51;45,55
60,23;34,19;57,36;23,47;45,50
47,15;34,31;54,50;22,50;44,54
